T_W1,T_W2,T_W3,T_W4
1100,1100,1100,1100
1101.5741507285,1101.57415072854,1101.57415072852,1101.57415072852
1101.43186760703,1101.4318676071,1101.43186760724,1101.43186760724
1117.10876023851,1117.10876023493,1117.1087602381,1117.1087602381
1123.44042213141,1123.44042213066,1123.44042213097,1123.44042213097
1129.92973679197,1129.92973679125,1129.92973679168,1129.92973679168
1134.14170421588,1134.14170421537,1134.14170421567,1134.14170421567
1137.5332945954,1137.53329459415,1137.53329459514,1137.53329459514
1139.90342302153,1139.90342302053,1139.9034230221,1139.9034230221
1141.79519233883,1141.79519233886,1141.79519233921,1141.79519233921
1143.04432343072,1143.04432343127,1143.04432343111,1143.04432343111
1144.12169092794,1144.12169092749,1144.12169092825,1144.12169092825
1144.81320583553,1144.81320583574,1144.8132058358,1144.8132058358
1145.39021208007,1145.39021208039,1145.39021208034,1145.39021208034
1145.81195701873,1145.81195701892,1145.81195701885,1145.81195701885
1146.13553986919,1146.13553986939,1146.13553986925,1146.13553986925
1146.38473256631,1146.38473256647,1146.38473256645,1146.38473256645
1146.58134987477,1146.58134987486,1146.58134987485,1146.58134987485
1146.75703485073,1146.75703485079,1146.75703485078,1146.92856057172
1146.86640494064,1146.86640494078,1146.86640494077,1147.34015839445
1146.96426093585,1146.96426093594,1146.96426093592,1147.79490281892
1147.0405124174,1147.04051241748,1147.04051241746,1148.28303161504
1147.10478000653,1147.1047800066,1147.10478000656,1148.79230624324
1147.15757145255,1147.15757145261,1147.15757145258,1149.31339184092
1147.20253606521,1147.20253606526,1147.20253606523,1149.84225183379
1147.24093879092,1147.24093879096,1147.24093879093,1150.3733915241
1147.27447794736,1147.27447794739,1147.27447794737,1150.90534922979
1147.3040401203,1147.30404012033,1147.30404012031,1151.4349512726
1147.33054205581,1147.33054205584,1147.33054205582,1151.96195490301
1147.35449721785,1147.35449721787,1147.35449721785,1152.48398847552
1147.37644425009,1147.37644425011,1147.37644425009,1153.00173254118
1147.39676321205,1147.39676321207,1147.39676321205,1153.5151852977
1147.41564374781,1147.41564374783,1147.41564374782,1154.02252139351
1147.43342535841,1147.43342535842,1147.4334253584,1154.52625761155
1147.45023625559,1147.45023625561,1147.45023625559,1155.02588810705
1147.46652274678,1147.46652274679,1147.46652274678,1155.53196357458
1147.48128954496,1147.48128954497,1147.48128954495,1156.00888292588
1147.49558813956,1147.49558813957,1147.49558813956,1156.48967493048
1147.50927561786,1147.50927561787,1147.50927561786,1156.96277567977
1147.52377129755,1147.52377129756,1147.69466541049,1157.4844770668
1147.53590220902,1147.53590220903,1148.00988071941,1157.93142595312
1147.54790464409,1147.54790464409,1148.37523472819,1158.3891585937
1147.55942569008,1147.55942569009,1148.79477174571,1158.84029535302
1147.57071201396,1147.57071201397,1149.24844416534,1159.29492045006
1147.58156232206,1147.58156232206,1149.72432343841,1159.74379325707
1147.59211795456,1147.59211795456,1150.21661179484,1160.19212710996
1147.60241103426,1147.60241103426,1150.72141835672,1160.63825507135
1147.6126876745,1147.61268767451,1151.24821073202,1161.09947539393
1147.62216177562,1147.62216177562,1151.75142870214,1161.53243096524
1147.63150817799,1147.631508178,1152.26380616855,1161.97180686024
1147.64050708499,1147.64050708499,1152.77116079927,1162.40439127299
1147.6491831496,1147.6491831496,1153.2740917996,1162.83420620287
1147.65764753649,1147.6576475365,1153.77477162988,1163.25938621222
1147.66574561741,1147.66574561742,1154.26738848499,1163.68130590967
1147.67364901733,1147.67364901733,1154.75737502056,1164.09997283658
1147.68104375101,1147.68104375101,1155.2245627843,1164.49986309085
1147.68852327717,1147.68852327717,1155.7073006194,1164.91463387695
1147.69595717445,1147.69595717445,1156.19679143649,1165.33607244308
1147.70298812618,1147.70298812618,1156.66689550835,1165.74110480156
1147.70981875394,1147.70981875394,1157.13165962688,1166.14253621134
1147.71656754536,1147.71656754536,1157.59936957327,1166.54755891201
1147.72279352048,1147.72279352048,1158.03733907143,1166.92797187527
1147.7291382947,1147.7291382947,1158.49181546882,1167.3229549076
1147.73534040469,1147.73534040469,1158.94359973643,1167.71625736179
1147.74128137774,1147.74128137774,1159.38308235714,1168.09951110618
1147.7470833249,1147.7470833249,1159.81940294616,1168.48060193968
1147.75246657804,1147.75246657804,1160.23026123646,1168.84028199401
1147.75792761169,1147.75792761169,1160.65457178408,1169.21209054346
1147.76319622331,1147.76319622331,1161.07051392866,1169.57708786123
1147.768458897,1147.76845889701,1161.49280547145,1169.94796558617
1147.77342468712,1147.77342468712,1161.89728198343,1170.30364492568
1147.77803167041,1147.77803167041,1162.27793076571,1170.6391538854
1147.78298150784,1147.78298150785,1162.69473111326,1171.00624416675
1147.78752705683,1147.78752705684,1163.08296202639,1171.3487223305
1147.79200840307,1147.79200840307,1163.4719319045,1171.69215896998
1147.79622975133,1147.79622975133,1163.84355141114,1172.02069280818
1147.800594005,1147.80059400501,1164.2347142777,1172.36646258082
1147.80463283446,1147.80463283447,1164.60168682412,1172.6912497315
1147.80869353329,1147.8086935333,1164.97681369295,1173.02334484089
1147.81255993575,1147.81255993576,1165.3392888817,1173.34449255455
1147.81637098461,1147.81637098462,1165.70227616595,1173.66623016106
1147.82004748343,1147.82004748343,1166.05777465158,1173.98151063109
1147.82364253252,1147.82364253253,1166.41082176944,1174.29474821797
1147.82712894061,1147.82712894061,1166.75842813205,1174.60329577969
1147.83052793162,1147.83052793163,1167.10253065822,1174.90884414534
1147.83383118438,1147.83383118438,1167.44202251347,1175.21040331096
1147.83704817412,1147.83704817413,1167.77767042465,1175.50863544518
1147.8401773611,1147.84017736111,1168.10907394696,1175.80317416788
1147.84322379833,1147.84322379834,1168.43655353369,1176.09428975289
1147.84618834847,1147.84618834848,1168.75997545894,1176.38185235759
1147.84907432445,1147.84907432446,1169.07948681825,1176.665980653
1147.85188339648,1147.85188339648,1169.39505497172,1176.94663523489
1147.85461813475,1147.85461813476,1169.70675788912,1177.22387493698
1147.85728043317,1147.85728043317,1170.01460097992,1177.49769504876
1147.8598724988,1147.85987249881,1170.3186335451,1177.76813012376
1147.86239623611,1147.86239623612,1170.61887483059,1178.03518863805
1147.86485363882,1147.86485363883,1170.91536147814,1178.29889486907
1147.86724654614,1147.86724654615,1171.20811721697,1178.55926209856
1147.86957680118,1147.86957680118,1171.49717252215,1178.81630994775
1147.87184615337,1147.87184615338,1171.78255200244,1179.07005321518
1147.87402523843,1147.87402523843,1172.06020392161,1179.31694043096
